Project,Client,Title,Duration
SOS1819-07,,#10 Tareas feedback - F02,00:12:26
SOS1819-07,,"#10 Tareas feedback 13 de Marzo, F02",00:00:31
SOS1819-07,,#11 Tener dentro de la carpeta “public” un archivo “index.html” con la misma información que se introdujo en el archivo “Readme.md” del repositorio común,04:18:51
SOS1819-07,,#12 Feedback - API REST,02:51:10
SOS1819-07,,#13 Realizar API REST,03:54:48
SOS1819-07,,#14 Haber realizado una API REST que ofrezca todos los métodos del recurso,06:49:59
SOS1819-07,,#14 Realizar API REST de Mongodb,16:03:10
SOS1819-07,,#15 Realizar API REST,06:53:41
SOS1819-07,,#16 API REST con mongoDB,24:02:11
SOS1819-07,,#18 Modularizar código JS,18:52:33
SOS1819-07,,#19 modularizar código,30:11:44
SOS1819-07,,#2 Tener configurado correctamente Toggle ( proyecto dentro del workspace),01:48:45
SOS1819-07,,#20 Angular CRUB,01:00:00
SOS1819-07,,#21 recargue la información de manera automatizada los datos que se muestran en caso de ser necesario,00:27:38
SOS1819-07,,#22 Usar angular-router para dividir las rutas,04:00:00
SOS1819-07,,#3 Editar nuevas labels,00:09:18
SOS1819-07,,#5 Registrar información repositorio común SOS,01:55:52
SOS1819-07,,#6 Revisión de que todas las cuentas están bien configuradas.,01:59:46
SOS1819-07,,#7 Servidor web que devuelva la hora actual,00:27:21
SOS1819-07,,#8 Ejercicio JS hora servidor,01:21:18
SOS1819-07,,#9 Tarea tabla azul,03:07:39
,,,45:54:24
